Nr,URL,Seite,SEO Titel,Meta Description,Zeichenanzahl Titel,Zeichenanzahl Desc
1,/,HomePage,"Square IT AG Zürich - IT-Dienstleistungen & Consulting","Square IT AG: Ihr IT-Partner in Zürich für Managed Services, Microsoft 365, Azure Migration und IT-Consulting. Professionelle IT-Lösungen seit über 15 Jahren.",48,144
2,/about,AboutPage,"Über Square IT - IT-Experten aus Zürich","Lernen Sie Square IT kennen: Ihr vertrauensvoller IT-Partner in Zürich mit über 15 Jahren Erfahrung in IT-Services, Cloud-Lösungen und digitalem Wandel.",38,147
3,/careers,CareersPage,"Karriere bei Square IT Zürich - IT Jobs","Werden Sie Teil des Square IT Teams! Entdecken Sie spannende Karrieremöglichkeiten in der IT-Branche bei Zürichs führendem IT-Dienstleister.",43,144
4,/contact,ContactPage,"Kontakt Square IT Zürich - IT Beratung","Kontaktieren Sie Square IT für professionelle IT-Beratung in Zürich. Wir unterstützen Sie bei Managed Services, Cloud-Migration und digitaler Transformation.",47,153
5,/industries,IndustriesPage,"Branchen & Industrien - Square IT Zürich","Square IT unterstützt Unternehmen aller Branchen: Schulen, NGOs, Finanzwesen, Gesundheitswesen und Treuhänder mit maßgeschneiderten IT-Lösungen.",44,151
6,/privacy,PrivacyPage,"Datenschutz - Square IT AG Zürich","Datenschutzerklärung der Square IT AG: Informationen zum Umgang mit Ihren persönlichen Daten und Datenschutzbestimmungen.",35,136
7,/services,ServicesPage,"IT-Services & Managed Services - Square IT","Entdecken Sie unsere IT-Services: Managed Infrastructure, Microsoft 365, Azure Migration, IT-Consulting und Support. Professionelle IT-Lösungen aus Zürich.",48,156
8,/technologies,TechnologiesPage,"IT-Technologien & Lösungen - Square IT","Moderne IT-Technologien von Square IT: Microsoft 365, Azure, Backup-Lösungen, Netzwerktechnik und Sicherheitslösungen für Ihr Unternehmen.",42,152
9,/it-calculator,ITCalculatorPage,"IT-Kosten Rechner - Square IT Zürich","Berechnen Sie Ihre IT-Kosten mit unserem kostenlosen IT-Rechner. Ermitteln Sie Einsparpotenziale und optimieren Sie Ihr IT-Budget mit Square IT.",43,151
10,/404,NotFound,"Seite nicht gefunden - Square IT","Die angeforderte Seite wurde nicht gefunden. Kehren Sie zur Square IT Startseite zurück oder nutzen Sie unsere Navigation.",37,140
11,/industries/finance,FinancePage,"IT für Finanzwesen - Square IT Zürich","Spezialisierte IT-Lösungen für Finanzunternehmen: Compliance, Sicherheit und regulatorische Anforderungen. Vertrauen Sie auf Square IT Expertise.",38,152
12,/industries/healthcare,HealthcarePage,"IT für Gesundheitswesen - Square IT Zürich","IT-Lösungen für das Gesundheitswesen: Datenschutz, Compliance und sichere Systeme für Praxen und Kliniken von Square IT.",42,143
13,/industries/ngo,NGOPage,"IT für NGOs - Square IT Zürich","Kosteneffiziente IT-Lösungen für NGOs und Non-Profit-Organisationen: Cloud-Services, Kollaborationstools und IT-Support von Square IT.",31,147
14,/industries/schools,SchoolsPage,"IT für Schulen - Square IT Zürich","Moderne IT-Lösungen für Bildungseinrichtungen: Digitale Klassenzimmer, Office 365 Education und sichere Netzwerke von Square IT.",35,146
